inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,2,0,0,2,-1,-1,2,-1,-1,1,1,RCB,MI
1,2,9,0,0,11,-1,-1,5.5,-1,-1,1,1,RCB,MI
1,3,1,1,1,12,-1,-1,4,-1,-1,1,1,RCB,MI
1,4,5,1,2,17,-1,-1,4.25,-1,-1,1,1,RCB,MI
1,5,2,0,2,19,-1,-1,3.8,-1,-1,1,1,RCB,MI
1,6,10,1,3,29,-1,-1,4.833333333,-1,-1,1,1,RCB,MI
1,7,8,0,3,37,-1,-1,5.285714286,-1,-1,1,1,RCB,MI
1,8,6,0,3,43,-1,-1,5.375,-1,-1,1,1,RCB,MI
1,9,9,1,4,52,-1,-1,5.777777778,-1,-1,1,1,RCB,MI
1,10,3,0,4,55,-1,-1,5.5,-1,-1,1,1,RCB,MI
1,11,7,0,4,62,-1,-1,5.636363636,-1,-1,1,1,RCB,MI
1,12,16,0,4,78,-1,-1,6.5,-1,-1,1,1,RCB,MI
1,13,7,0,4,85,-1,-1,6.538461538,-1,-1,1,1,RCB,MI
1,14,14,1,5,99,-1,-1,7.071428571,-1,-1,1,1,RCB,MI
1,15,3,0,5,102,-1,-1,6.8,-1,-1,1,1,RCB,MI
1,16,9,1,6,111,-1,-1,6.9375,-1,-1,1,1,RCB,MI
1,17,12,0,6,123,-1,-1,7.235294118,-1,-1,1,1,RCB,MI
1,18,10,1,7,133,-1,-1,7.388888889,-1,-1,1,1,RCB,MI
1,19,16,0,7,149,-1,-1,7.842105263,-1,-1,1,1,RCB,MI
1,20,22,0,7,171,-1,-1,8.55,-1,-1,1,1,RCB,MI
2,1,5,0,0,5,172,167,5,8.789473684,-3.789473684,0,1,RCB,MI
2,2,9,0,0,14,172,158,7,8.777777778,-1.777777778,0,1,RCB,MI
2,3,16,0,0,30,172,142,10,8.352941176,1.647058824,0,1,RCB,MI
2,4,10,0,0,40,172,132,10,8.25,1.75,0,1,RCB,MI
2,5,5,0,0,45,172,127,9,8.466666667,0.533333333,0,1,RCB,MI
2,6,8,0,0,53,172,119,8.833333333,8.5,0.333333333,0,1,RCB,MI
2,7,5,0,0,58,172,114,8.285714286,8.769230769,-0.483516484,0,1,RCB,MI
2,8,17,0,0,75,172,97,9.375,8.083333333,1.291666667,0,1,RCB,MI
2,9,5,0,0,80,172,92,8.888888889,8.363636364,0.525252525,0,1,RCB,MI
2,10,17,0,0,97,172,75,9.7,7.5,2.2,0,1,RCB,MI
2,11,11,0,0,108,172,64,9.818181818,7.111111111,2.707070707,0,1,RCB,MI
2,12,5,0,0,113,172,59,9.416666667,7.375,2.041666667,0,1,RCB,MI
2,13,16,0,0,129,172,43,9.923076923,6.142857143,3.78021978,0,1,RCB,MI
2,14,10,0,0,139,172,33,9.928571429,5.5,4.428571429,0,1,RCB,MI
2,15,9,1,1,148,172,24,9.866666667,4.8,5.066666667,0,1,RCB,MI
2,16,13,1,2,161,172,11,10.0625,2.75,7.3125,0,1,RCB,MI
